,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
0,an19,201904_ymaze_cfos,lobVI_reversal,0.09261440033746672,0.2588826687992688,0.031290370773976395,0.21417711729604794,0.11882079990157221,0.025753807485785093,0.06572252150910897,0.04884479167582104,0.04133967255182838,0.0068416103489792515,0.030943237044002495,0.06476900227614268
1,an21,201904_ymaze_cfos,lobVI_reversal,0.11225735657764589,0.36863254203758655,0.02098015578635015,0.14390918644906034,0.08882758407517309,0.02589484421364985,0.06230681256181998,0.052137425816023736,0.03689107319485658,0.005509705736894164,0.037269720573689415,0.045383592977250246
2,an22,201904_ymaze_cfos,lobVI_reversal,0.0848355224921539,0.3958154132279437,0.025916540741601768,0.1320144135766593,0.1058049517610136,0.016822038823666164,0.052800185981634315,0.0486667441590143,0.04756945251656399,0.0052865279553644074,0.028957340462629315,0.0555108683017552
3,an23,201904_ymaze_cfos,lobVI_reversal,0.05091776835788435,0.2701148846622431,0.022221774721346798,0.12860839534017338,0.14455732654027004,0.03481780561233223,0.08024809448533483,0.09969088877030116,0.02994452107896936,0.014770885145544066,0.03444526113354209,0.08966239415205857
4,an24,201904_ymaze_cfos,lobVI_reversal,0.029027258274892716,0.3010756613774174,0.020500957507890726,0.1399886492998742,0.23227780672611956,0.02872523672183815,0.05088897223061171,0.08717470453331032,0.027391031619333362,0.01224348911228896,0.02028190890897203,0.05042432368745084
5,an25,201904_ymaze_cfos,lobVI_reversal,0.05304483314383281,0.27875335454207867,0.030580407560113775,0.13048738003085605,0.23262624754510686,0.028865332123592623,0.07606436126839017,0.06830058228342387,0.02208925283198003,0.012752045265740985,0.01961617530521069,0.04682002809967345
6,an26,201904_ymaze_cfos,lobVI_reversal,0.020666235676075048,0.3373732781097037,0.01214469917093513,0.12702026839820688,0.15325267652261634,0.057270834961388455,0.06129183509636902,0.10334183474115699,0.03254452582746641,0.016140834464091616,0.025724454927146014,0.053228522104844384
7,an27,201904_ymaze_cfos,lobVI_reversal,0.09699821303944352,0.3468007270551964,0.028223239690464686,0.13235012155933398,0.14312557040854673,0.014675317703180483,0.07306597949213507,0.04470852602596845,0.03032464395002646,0.006894753391773846,0.02672388008190875,0.05610902760202164
8,an28,201904_ymaze_cfos,lobVI_reversal,0.08675293252523336,0.4481918565345795,0.02242596040942678,0.1208876448471766,0.08455398337148483,0.016751865074187848,0.053460320472525,0.04266483223227735,0.03727064628230522,0.0056764674486733955,0.03381447700829054,0.04754901379383962
0,an19,201908_tpham_ymaze_cfos,CNO_control_reversal,0.07291011942174733,0.20515399120050282,0.0218730358265242,0.12256442489000628,0.23431803896920175,0.17096165933375235,0.033815210559396604,0.04286612193588938,0.027781269641734756,0.0021370207416719043,0.03469516027655563,0.03092394720301697
1,an20,201908_tpham_ymaze_cfos,CNO_control_reversal,0.08426673612920031,0.19744725188851264,0.04128679343579057,0.1303724928366762,0.17986454805939048,0.13766605886949726,0.045454545454545456,0.05131544673091951,0.05170617348267778,0.0023443605105496223,0.03386298515238343,0.044412607449856735
2,an21,201908_tpham_ymaze_cfos,CNO_control_reversal,0.07555193630112197,0.24547593195801665,0.04044516829533116,0.12178791169019182,0.24466159971045964,0.10287730727470142,0.03528773072747014,0.035559174809989144,0.024158523344191097,0.003528773072747014,0.033387622149837134,0.03727832066594282
3,an22,201908_tpham_ymaze_cfos,CNO_control_reversal,0.07236875669608693,0.26983317177695015,0.02805979286771083,0.11810621907045558,0.1911382072343248,0.060277536860364266,0.05430845365032396,0.0715014540074486,0.03007499617366461,0.006912912606499668,0.048007754706392534,0.049410744349778074
4,an23,201908_tpham_ymaze_cfos,CNO_control_reversal,0.08374384236453201,0.28180310419090526,0.03215585315741268,0.12218729113548035,0.15726415327870882,0.05725672698467708,0.05116716587865436,0.07277768151100329,0.02901205535064485,0.006559893061365943,0.05537539916330421,0.05069683392331114
5,an24,201908_tpham_ymaze_cfos,CNO_control_reversal,0.0630837293134524,0.2828936588563002,0.026216614779616582,0.11133868589218417,0.1920093942869627,0.06199137036430171,0.04546944125839751,0.07957834944562783,0.0331257851329947,0.00720956906439456,0.04178272980501393,0.05530067180075373
6,an25,201908_tpham_ymaze_cfos,CNO_control_reversal,0.08170353913070688,0.3224958538035485,0.02268673530056013,0.11111806489970899,0.1246675219826642,0.046625152548737364,0.05460462496479645,0.08517695653534436,0.03576681165315893,0.007322339393560097,0.054322996526582595,0.05350940326063147
0,an10,201908_tpham_ymaze_cfos,CNOnCrusILT,0.05119201626316762,0.1866568102014415,0.034466826834226576,0.13333949362409905,0.11356496026612456,0.19432637220476806,0.04962114211790797,0.06449824431713178,0.031047865459249677,0.005913879135095177,0.06311217889484384,0.07226021068194419
1,an11,201908_tpham_ymaze_cfos,CNOnCrusILT,0.07668090847762536,0.1915336181695525,0.04098268495615021,0.13587812008095346,0.223015516078255,0.12311670789296154,0.03496739374859456,0.06470654373735102,0.029795367663593433,0.005172026085001125,0.02917697324038678,0.04497413986957499
2,an12,201908_tpham_ymaze_cfos,CNOnCrusILT,0.08295496379923917,0.14418947110074856,0.03595533194256964,0.1298318812124187,0.20235611731500797,0.17707694195606824,0.04466805743035955,0.06062093508405939,0.024174745367529758,0.005522149957049945,0.04245919744753957,0.0501902073874095
3,an13,201908_tpham_ymaze_cfos,CNOnCrusILT,0.09096911451837723,0.19030151859731495,0.03924877118333211,0.14430342601423227,0.2315310688870956,0.12244149365417065,0.04372386472012325,0.05282077617196097,0.02222874330570024,0.003961558212897073,0.019074169173208127,0.03939549556158756
4,an14,201908_tpham_ymaze_cfos,CNOnCrusILT,0.06714247951361353,0.2913031985196934,0.029209621993127148,0.13190589479249273,0.22277293153581815,0.1316415543219667,0.028152260111022998,0.04500396510705789,0.016587364525508855,0.0030399154110494317,0.01295268305577584,0.02028813111287338
